id;typ_id;kennung;name
8d9a45c9-028f-4b1e-8125-d8341cc2a771;f087eea4-c636-43be-8d7b-20002300be1e;7A;Allgemein
b2ecdb11-cac2-4302-a5b2-8d31c3c82922;f087eea4-c636-43be-8d7b-20002300be1e;7B;Bauherrenleistungen
392e3e71-9216-4aa6-889f-16b5b437c1a6;f087eea4-c636-43be-8d7b-20002300be1e;7C;Planungsleistungen
e7103f89-0830-43b0-950f-73c185f4b6a8;fbc5f346-a0d8-4379-a4b4-16cf53b0386c;8A;Allgemein
112c0a5f-4b0d-4b11-bfc1-42fc3b91c240;fbc5f346-a0d8-4379-a4b4-16cf53b0386c;8B;Baunebenleistungen
8fc80153-98bd-493e-85fd-d5743b60f8fc;fbc5f346-a0d8-4379-a4b4-16cf53b0386c;8C;Planungsnebenleistungen
00a4da64-b8c5-45fb-937b-7133cdbc939c;438f2443-66f2-4b4b-89ca-2c3e66f051c8;9A;Allgemein 
ba48cda5-3765-4ab1-855e-d502ad8f2d27;438f2443-66f2-4b4b-89ca-2c3e66f051c8;9B;Reservemittel Budget
f0f65703-f8e3-4f3a-ab78-e4f568b4d3ce;438f2443-66f2-4b4b-89ca-2c3e66f051c8;9C;Reservemittel Steuerung
aaa7980a-9e86-42f7-b7c2-eaddc1a2a4b8;c7609a39-abe5-487d-ba05-2adcaee25c98;0A.01;Allgemeine Maßnahmen
5a09efab-345c-43c7-83ce-ef8f20b744f6;c7609a39-abe5-487d-ba05-2adcaee25c98;0A.02;Sonstiges zu Allgemein
e196fa2b-2a33-4955-9ca8-0ebee9869910;a6665651-c26f-49a9-b2d9-f0627a68f1d3;0B.01;Erwerb Grund
45b15313-c311-4315-8014-b216ee3253d1;a6665651-c26f-49a9-b2d9-f0627a68f1d3;0B.02;Erwerb Baurecht
9339424f-b590-45d7-994d-b25b8d59f8f2;ad8b5367-74fc-416b-a4ca-c59a8913c2f3;0C.01;Vorstudien, Gutachten
b27b17e5-9715-4ce9-b4a1-a54b7d5f2aa1;ad8b5367-74fc-416b-a4ca-c59a8913c2f3;0C.02;Wertermittlung, Untersuchung
f5719ddc-2df3-491b-a1f1-d4902fcad7a3;ad8b5367-74fc-416b-a4ca-c59a8913c2f3;0C.03;Gebühren, Steuern
c1d900c7-a33b-4923-81d4-332d06460dbc;b8c8d13f-04cf-4816-82b7-383238d3bf73;0D.01;Abfindungen
0e97e536-3804-4dfa-b8b5-4dc6f9eb97d5;b8c8d13f-04cf-4816-82b7-383238d3bf73;0D.02;Ablösen von Rechten und Lasten
89eb03ec-cde0-4e66-87a1-47845a3146a3;57a38abd-8f54-4262-b5dd-21a4bc19cc1d;1A.01;Besondere Baustelleneinrichtung
0cd91592-f3f1-4cdb-a95b-7eedfdc57cb8;57a38abd-8f54-4262-b5dd-21a4bc19cc1d;1A.02;Allgemeine Sicherungsmaßnahmen
89ec8fdc-4383-4950-9a45-7ecde665671a;57a38abd-8f54-4262-b5dd-21a4bc19cc1d;1A.03;Sonstiges zu Aufschließung
4095f51a-b009-42ea-9d5c-6b503a5f58c5;8cc3323b-8bc9-4819-9416-6d8b84246aba;1B.01;Altlastenbeseitigung
be572d5b-c9d0-41f2-bced-13b87d34ef40;8cc3323b-8bc9-4819-9416-6d8b84246aba;1B.02;Abbruchmaßnahmen
a125b174-f47c-4ef7-91b1-67833e3e12a5;8cc3323b-8bc9-4819-9416-6d8b84246aba;1B.03;Geländeoberfläche herrichten
f254cd3a-8915-4b95-9a3f-42781991f74c;c712e669-60fa-4fc9-a58b-2c0beb1cec85;1C.01;Entsorgungsleitungen
fe107682-b1c3-4f10-9571-a35dad1fe582;c712e669-60fa-4fc9-a58b-2c0beb1cec85;1C.02;Versorgungsleitungen
f2b1ffc1-048c-4a25-bbf7-164a1a447ffe;c712e669-60fa-4fc9-a58b-2c0beb1cec85;1C.03;Verkehrserschließungen
16552964-284a-441c-9e48-06dec414b062;c712e669-60fa-4fc9-a58b-2c0beb1cec85;1C.04;Sonstige Erschließungen
8a456b28-8e59-4a7d-a358-057b781fa789;059855f4-4953-4c36-b15b-cba906d3b8bb;1D.01;Abbruchmaßnahmen
8f43663f-36dc-49c8-afe2-0c87ad87acd9;059855f4-4953-4c36-b15b-cba906d3b8bb;1D.02;Rückbaumaßnahmen
dbde4f9f-e864-43ab-ab38-05c87e56b835;059855f4-4953-4c36-b15b-cba906d3b8bb;1D.03;Baustellenrecycling
236337c1-8b18-43fc-aaaa-1fb9131a0f14;059855f4-4953-4c36-b15b-cba906d3b8bb;1D.04;Altlastenentsorgung
fe2c43c0-b6dd-4b7e-8872-c60cf244b543;8a570735-a8b0-48d7-aadc-94e7da4e172c;1E.01;Baustellenprovisorien
4f1cb220-10f6-4ef9-a671-a5b1b5ffca4a;8a570735-a8b0-48d7-aadc-94e7da4e172c;1E.02;Bauprovisorien
59d6a41b-fc02-48f3-924a-9548a682a9e3;8a570735-a8b0-48d7-aadc-94e7da4e172c;1E.03;Verkehrsprovisorien
125548be-b46f-4806-bcc3-e33c16de6ca5;e91fe2f1-ea1b-4d7f-88d7-bad92b4c9f58;2A.01;Besondere  Baustelleneinrichtung
4eb9661e-b844-4947-88bf-3ee74d33f7aa;e91fe2f1-ea1b-4d7f-88d7-bad92b4c9f58;2A.02;Allgemeine  Sicherungsmaßnahmen
ed530859-a2a0-48a0-8f08-ed155753a3f2;e91fe2f1-ea1b-4d7f-88d7-bad92b4c9f58;2A.03;Sonstiges zu Bauwerk-Rohbau
